[2024-10-04T23:17:38.770+0000] {logging_mixin.py:190} INFO - R$ 1.825,39
[2024-10-04T23:17:49.506+0000] {logging_mixin.py:190} INFO - R$ 240,13
[2024-10-04T23:17:49.507+0000] {logging_mixin.py:190} INFO - R$ 488,38
[2024-10-04T23:17:49.507+0000] {logging_mixin.py:190} INFO - R$ 159,90
[2024-10-04T23:17:49.508+0000] {logging_mixin.py:190} INFO - R$ 1.849,83
[2024-10-04T23:17:49.509+0000] {logging_mixin.py:190} INFO - R$ 550,00
[2024-10-04T23:17:49.509+0000] {logging_mixin.py:190} INFO - R$ 423,23
[2024-10-04T23:17:49.510+0000] {logging_mixin.py:190} INFO - R$ 503,90
[2024-10-04T23:17:49.511+0000] {logging_mixin.py:190} INFO - R$ 1.744,15
[2024-10-04T23:17:49.512+0000] {logging_mixin.py:190} INFO - R$ 520,54
[2024-10-04T23:17:49.513+0000] {logging_mixin.py:190} INFO - R$ 681,70
[2024-10-04T23:17:49.513+0000] {logging_mixin.py:190} INFO - R$ 668,90
[2024-10-04T23:17:49.514+0000] {logging_mixin.py:190} INFO - R$ 490,74
[2024-10-04T23:17:49.514+0000] {logging_mixin.py:190} INFO - R$ 604,99
[2024-10-04T23:17:49.515+0000] {logging_mixin.py:190} INFO - R$ 1.619,99
[2024-10-04T23:17:49.515+0000] {logging_mixin.py:190} INFO - R$ 2.899,99
[2024-10-04T23:17:49.516+0000] {logging_mixin.py:190} INFO - R$ 1.999,99
[2024-10-04T23:17:49.517+0000] {logging_mixin.py:190} INFO - R$ 240,31
[2024-10-04T23:17:49.517+0000] {logging_mixin.py:190} INFO - R$ 1.948,53
[2024-10-04T23:17:49.518+0000] {logging_mixin.py:190} INFO - R$ 625,01
[2024-10-04T23:17:49.518+0000] {logging_mixin.py:190} INFO - R$ 707,89
[2024-10-04T23:17:49.519+0000] {logging_mixin.py:190} INFO - R$ 834,00
[2024-10-04T23:17:49.520+0000] {logging_mixin.py:190} INFO - R$ 353,35
[2024-10-04T23:17:49.520+0000] {logging_mixin.py:190} INFO - R$ 480,00
[2024-10-04T23:17:49.521+0000] {logging_mixin.py:190} INFO - R$ 2.830,87
[2024-10-04T23:17:49.522+0000] {logging_mixin.py:190} INFO - R$ 2.341,33
[2024-10-04T23:17:49.522+0000] {logging_mixin.py:190} INFO - R$ 2.629,99
[2024-10-04T23:17:49.523+0000] {logging_mixin.py:190} INFO - R$ 3.125,36
[2024-10-04T23:17:49.523+0000] {logging_mixin.py:190} INFO - R$ 3.989,99
[2024-10-04T23:17:49.524+0000] {logging_mixin.py:190} INFO - R$ 11.194,99
[2024-10-04T23:17:49.525+0000] {logging_mixin.py:190} INFO - R$ 1.969,99
[2024-10-04T23:17:49.525+0000] {logging_mixin.py:190} INFO - R$ 1.929,99
[2024-10-04T23:17:49.526+0000] {logging_mixin.py:190} INFO - R$ 599,99
[2024-10-04T23:17:49.527+0000] {logging_mixin.py:190} INFO - R$ 757,20
[2024-10-04T23:17:49.527+0000] {logging_mixin.py:190} INFO - R$ 359,85
[2024-10-04T23:17:49.528+0000] {logging_mixin.py:190} INFO - R$ 1.565,95
[2024-10-04T23:17:49.529+0000] {logging_mixin.py:190} INFO - R$ 1.601,55
[2024-10-04T23:17:49.529+0000] {logging_mixin.py:190} INFO - R$ 1.809,90
[2024-10-04T23:17:49.530+0000] {logging_mixin.py:190} INFO - R$ 398,65
[2024-10-04T23:17:49.531+0000] {logging_mixin.py:190} INFO - R$ 1.231,19
[2024-10-04T23:17:49.531+0000] {logging_mixin.py:190} INFO - R$ 2.626,27
[2024-10-04T23:17:49.532+0000] {logging_mixin.py:190} INFO - R$ 673,89
[2024-10-04T23:17:49.533+0000] {logging_mixin.py:190} INFO - R$ 339,00
[2024-10-04T23:17:49.533+0000] {logging_mixin.py:190} INFO - R$ 1.146,59
[2024-10-04T23:17:49.534+0000] {logging_mixin.py:190} INFO - R$ 284,24
[2024-10-04T23:17:49.534+0000] {logging_mixin.py:190} INFO - R$ 1.844,00
[2024-10-04T23:17:49.535+0000] {logging_mixin.py:190} INFO - R$ 2.379,99
[2024-10-04T23:17:49.535+0000] {logging_mixin.py:190} INFO - R$ 1.804,99
[2024-10-04T23:17:49.536+0000] {logging_mixin.py:190} INFO - R$ 3.904,63
[2024-10-04T23:17:49.537+0000] {logging_mixin.py:190} INFO - R$ 495,99
[2024-10-04T23:17:49.537+0000] {logging_mixin.py:190} INFO - R$ 319,00
[2024-10-04T23:17:49.538+0000] {logging_mixin.py:190} INFO - R$ 1.899,99
[2024-10-04T23:17:49.538+0000] {logging_mixin.py:190} INFO - R$ 1.085,71
[2024-10-04T23:17:49.539+0000] {logging_mixin.py:190} INFO - R$ 1.359,99
[2024-10-04T23:17:49.539+0000] {logging_mixin.py:190} INFO - R$ 1.659,59
[2024-10-04T23:17:49.540+0000] {logging_mixin.py:190} INFO - R$ 459,40
[2024-10-04T23:17:49.541+0000] {logging_mixin.py:190} INFO - R$ 1.699,99
[2024-10-04T23:17:49.541+0000] {logging_mixin.py:190} INFO - R$ 2.984,41
[2024-10-04T23:17:49.542+0000] {logging_mixin.py:190} INFO - R$ 3.079,99
[2024-10-04T23:17:49.542+0000] {logging_mixin.py:190} INFO - R$ 589,90
