[2024-10-04T23:57:42.080+0000] {logging_mixin.py:190} INFO - R$ 2.394,99
[2024-10-04T23:57:42.081+0000] {logging_mixin.py:190} INFO - R$ 659,99
[2024-10-04T23:57:42.081+0000] {logging_mixin.py:190} INFO - R$ 3.399,99
[2024-10-04T23:57:42.082+0000] {logging_mixin.py:190} INFO - R$ 2.989,99
[2024-10-04T23:57:42.083+0000] {logging_mixin.py:190} INFO - R$ 2.804,99
[2024-10-04T23:57:42.083+0000] {logging_mixin.py:190} INFO - R$ 1.694,99
[2024-10-04T23:57:42.084+0000] {logging_mixin.py:190} INFO - R$ 1.158,93
[2024-10-04T23:57:42.084+0000] {logging_mixin.py:190} INFO - R$ 167,68
[2024-10-04T23:57:42.086+0000] {logging_mixin.py:190} INFO - R$ 418,67
[2024-10-04T23:57:42.086+0000] {logging_mixin.py:190} INFO - R$ 485,00
[2024-10-04T23:57:42.087+0000] {logging_mixin.py:190} INFO - R$ 567,67
[2024-10-04T23:57:42.088+0000] {logging_mixin.py:190} INFO - R$ 1.089,90
[2024-10-04T23:57:42.089+0000] {logging_mixin.py:190} INFO - R$ 659,90
[2024-10-04T23:57:42.090+0000] {logging_mixin.py:190} INFO - R$ 388,00
[2024-10-04T23:57:42.090+0000] {logging_mixin.py:190} INFO - R$ 544,00
[2024-10-04T23:57:42.091+0000] {logging_mixin.py:190} INFO - R$ 519,90
[2024-10-04T23:57:42.091+0000] {logging_mixin.py:190} INFO - R$ 1.529,10
[2024-10-04T23:57:42.092+0000] {logging_mixin.py:190} INFO - R$ 1.508,00
[2024-10-04T23:57:42.092+0000] {logging_mixin.py:190} INFO - R$ 438,89
[2024-10-04T23:57:42.093+0000] {logging_mixin.py:190} INFO - R$ 599,00
[2024-10-04T23:57:42.094+0000] {logging_mixin.py:190} INFO - R$ 365,90
[2024-10-04T23:57:42.094+0000] {logging_mixin.py:190} INFO - R$ 208,00
[2024-10-04T23:57:42.095+0000] {logging_mixin.py:190} INFO - R$ 219,90
[2024-10-04T23:57:42.095+0000] {logging_mixin.py:190} INFO - R$ 714,99
[2024-10-04T23:57:42.096+0000] {logging_mixin.py:190} INFO - R$ 1.964,99
[2024-10-04T23:57:42.097+0000] {logging_mixin.py:190} INFO - R$ 2.046,99
[2024-10-04T23:57:42.097+0000] {logging_mixin.py:190} INFO - R$ 1.984,99
[2024-10-04T23:57:42.098+0000] {logging_mixin.py:190} INFO - R$ 561,00
[2024-10-04T23:57:42.098+0000] {logging_mixin.py:190} INFO - R$ 763,90
[2024-10-04T23:57:42.099+0000] {logging_mixin.py:190} INFO - R$ 1.825,39
[2024-10-04T23:57:50.726+0000] {logging_mixin.py:190} INFO - R$ 240,13
[2024-10-04T23:57:50.727+0000] {logging_mixin.py:190} INFO - R$ 488,38
[2024-10-04T23:57:50.728+0000] {logging_mixin.py:190} INFO - R$ 159,90
[2024-10-04T23:57:50.729+0000] {logging_mixin.py:190} INFO - R$ 1.849,83
[2024-10-04T23:57:50.730+0000] {logging_mixin.py:190} INFO - R$ 550,00
[2024-10-04T23:57:50.731+0000] {logging_mixin.py:190} INFO - R$ 423,23
[2024-10-04T23:57:50.731+0000] {logging_mixin.py:190} INFO - R$ 503,90
[2024-10-04T23:57:50.732+0000] {logging_mixin.py:190} INFO - R$ 1.744,15
[2024-10-04T23:57:50.732+0000] {logging_mixin.py:190} INFO - R$ 520,54
[2024-10-04T23:57:50.733+0000] {logging_mixin.py:190} INFO - R$ 681,70
